Rank,Country,Value exported in 2020 (USD thousand),Trade balance in 2020 (USD thousand),Share in world exports (%)
1, China,"2,498,569,866","429,619,611",13.3
2, United States,"1,645,174,335","-923,222,114",8.8
3, Germany,"1,486,462,772","250,164,041",7.9
4, Netherlands,"721,301,085","74,548,537",3.8
5, Japan,"705,842,013","-15,122,432",3.8
6, France,"555,100,606","-82,848,463",3
7, South Korea,"542,333,337","39,073,940",2.9
8, Hong Kong,"535,711,019","-42,879,132",2.9
9, Italy,"532,683,665","59,121,415",2.8
10, Mexico,"472,272,871","4,979,704",2.5
11, United Kingdom,"468,159,554","-224,420,509",2.5
12, Canada,"446,562,311","-6,594,914",2.4
13, Belgium,"445,214,433","18,725,348",2.4
14, Russia,"422,777,167","178,996,614",2.3
15, Singapore,"390,386,234","31,377,978",2.1
16, Spain,"337,215,114","-38,270,056",1.8
17, Taiwan,"329,512,433","43,606,152",1.8
18, India,"323,250,726","-155,633,003",1.7
19, Vietnam,"318,258,388","47,147,176",1.7
20,  Switzerland,"314,145,207","36,937,609",1.7
21, Australia,"272,579,608","58,305,903",1.5
22, Poland,"251,864,773","5,210,893",1.3
23, Saudi Arabia,"251,800,458","107,465,565",1.3
24, Thailand,"245,380,465","5,241,269",1.3
25, Malaysia,"238,161,125","33,172,811",1.3
26, Brazil,"223,998,669","46,657,444",1.2
27, Czech Republic,"198,852,420","20,300,154",1.1
28, United Arab Emirates,"185,015,104","-3,564,087",1
29, Austria,"182,030,864","-6,021,253",1
30, Turkey,"171,098,411","-29,560,185",0.9
31, Ireland,"169,792,014","71,291,301",0.9
32, Indonesia,"167,496,991","-3,230,381",0.9
33, Sweden,"160,543,407","1,830,862",0.9
34, Hungary,"121,995,389","5,439,221",0.7
35, Denmark,"109,941,916","12,745,903",0.6
36, Norway,"102,793,716","16,866,649",0.5
37, Iraq,"90,678,278","57,601,508",0.5
38, South Africa,"90,419,473","2,203,294",0.5
39, Slovakia,"90,049,519","-929,585",0.5
40, Romania,"77,298,748","-19,345,571",0.4
41, Finland,"73,326,802","-179,893",0.4
42, Qatar,"73,022,958","41,297,341",0.4
43, Philippines,"70,334,023","-42,574,726",0.4
44, Chile,"69,145,962","5,026,856",0.4
45, Portugal,"67,056,137","-22,842,310",0.4
46, Argentina,"65,115,327","15,990,297",0.3
47, Israel,"58,448,249","-18,042,816",0.3
48, Kuwait,"58,429,857","35,058,634",0.3
49, Kazakhstan,"57,722,942","19,366,278",0.3
50, Nigeria,"53,624,701","6,237,397",0.3
51, Ukraine,"50,123,928","-954,123",0.3
52, Bangladesh,"46,601,218","-6,725,070",0.2
53, Slovenia,"45,624,764","910,808",0.2
54, Peru,"45,135,222","2,771,180",0.2
55, Colombia,"39,496,225","-10,916,800",0.2
56, New Zealand,"38,183,311","-4,137,680",0.2
57, Greece,"37,885,527","-24,312,518",0.2
58, Oman,"37,574,339","18,129,622",0.2
59, Angola,"35,602,059","26,401,269",0.2
60, Algeria,"34,746,213","-5,684,023",0.2
61, Bulgaria,"33,872,429","-3,937,127",0.2
62, Lithuania,"33,123,430","-2,489,021",0.2
63, Egypt,"30,632,553","-48,024,965",0.2
64, Morocco,"29,338,782","-21,757,585",0.2
65, Libya,"27,730,382","14,606,833",0.1
66, Iran,"27,106,527","-202,409",0.1
67, Pakistan,"23,818,817","-26,315,995",0.1
68, Belarus,"22,534,205","-9,134,498",0.1
69, Ecuador,"22,329,379","2,052,287",0.1
70, Azerbaijan,"19,635,580","5,986,311",0.1
71, Serbia,"19,557,555","-6,990,809",0.1
72, Myanmar,"19,369,301","-6,609,700",0.1
73, Croatia,"17,063,050","-10,941,364",0.1
74, Estonia,"16,810,907","-1,847,696",0.1
75, Luxembourg,"16,761,265","-7,613,023",0.1
76, Venezuela,"16,479,750","10,883,537",0.1
77, Tunisia,"15,132,285","-3,314,531",0.1
78, Uzbekistan,"14,929,507","-6,937,763",0.1
79, Cambodia,"14,824,722","-5,454,763",0.1
80, Latvia,"14,400,974","-3,338,942",0.1
81, Ghana,"13,994,949","-2,870,879",0.1
82, Côte d'Ivoire,"12,717,852","2,235,291",0.1
83, Papua New Guinea,"11,765,385","7,489,688",0.1
84, Costa Rica,"11,452,817","-4,655,886",0.1
85, Sri Lanka,"11,329,567","-5,173,925",0.1
86, Guatemala,"11,183,088","-8,697,922",0.1
87, Dominican Republic,"10,619,028","-7,676,307",0.1
88, Trinidad and Tobago,"10,595,108","3,780,118",0.1
89, Turkmenistan,"10,324,597","7,630,635",0.1
90, Bahrain,"9,425,796","-942,869",0.1
91, Uruguay,"7,816,028","-497,621",0
92, Bolivia,"7,671,876","1,687,040",0
93, Paraguay,"7,652,036","-4,535,371",0
94, Democratic Republic of the Congo,"7,504,163","840,083",0
95, Brunei,"7,249,807","2,148,153",0
96, Mongolia,"7,200,177","1,589,945",0
97, Gabon,"7,192,002","5,028,005",0
98, North Macedonia,"7,185,964","-2,284,322",0
99, Zambia,6962507,-264390,0
100, Bosnia and Herzegovina,6578192,-4580790,0
101, Namibia,6439325,-1275877,0
102, Jordan,6406185,-10633835,0
103, Kenya,5836027,-11384352,0
104, Lao People's Democratic Republic,5809346,11901,0
105, Panama,5710189,-36118962,0
107, Nicaragua,5272553,-1712956,0
108, Botswana,5238079,-1320444,0
109, Iceland,5231459,-1329195,0
110, Cameroon,5015141,-810998,0
111, Equatorial Guinea,5007612,4046777,0
112, El Salvador,4777618,-6560024,0
113, Mozambique,4722313,-2916427,0
114, Zimbabwe,4279384,-508063,0
115, Senegal,4174502,-3968611,0
116, Guinea,4160628,-12884,0
117, Malta,4142922,-4068087,0
118, Guyana,3842163,-2138007,0
119, Georgia,3764104,-5333435,0
120, Cyprus,3528213,-5691287,0
121," Tanzania, United Republic of",3374210,-6610401,0
122, Burkina Faso,3260981,-991587,0
123," Moldova, Republic of",3107829,-2115738,0
124, Honduras,3091163,-6065898,0
125, Lebanon,3001671,-11231461,0
126, Mauritania,2890635,-629190,0
127, Albania,2728415,-2706358,0
128, Sudan,2724681,-3916441,0
129, Ethiopia,2674870,-5967679,0
130, Armenia,2611701,-2441361,0
131, Madagascar,2564400,-1332487,0
133, Eswatini,2001637,169201,0
134, Kyrgyzstan,1965502,-2938311,0
135, Liberia,1907492,-10335138,0
136, Mauritius,1873604,-3726884,0
137, New Caledonia,1799653,-737099,0
138, Mali,1669031,-2324884,0
139, Cuba,1614816,-3692288,0
140, Jamaica,1586351,-4752882,0
141, South Sudan,1560547,1222455,0
142, Cayman Islands,1549975,-2943433,0
143, Faroe Islands,1490947,308528,0
144, Bahamas,1487643,-9163538,0
145, Suriname,1460966,-250484,0
146, Yemen,1453207,-7542090,0
147, Haiti,1341760,-1467531,0
148, Uganda,1311801,-2277064,0
149, Greenland,1294270,278643,0
150, Afghanistan,1266174,-4197163,0
151, Marshall Islands,1186309,-10602970,0
152, Tajikistan,1115850,-2211894,0
153, Lesotho,1105336,-464415,0
154, Chad,1058627,231873,0
155, Fiji,1033413,-1704755,0
156, Togo,1025312,-939126,0
157, Macao,1023983,-11000036,0
158,   Nepal,966600,-8920678,0
159, Malawi,912983,-2028165,0
160, Benin,850596,-2042636,0
161, Seychelles,844891,-629637,0
162, Solomon Islands,705394,283401,0
163, Sierra Leone,690433,-367417,0
164, Curaçao,523914,-1395311,0
165, Syrian Arab Republic,462190,-4115151,0
166, Niger,444250,-946489,0
167, Barbados,444089,-1136970,0
168," Korea, Democratic People's Republic of",414344,-2304509,0
169, Montenegro,406920,-2566556,0
170, British Virgin Islands,362803,-1426550,0
172, Eritrea,332793,39869,0
173, Falkland Islands (Malvinas),315845,216517,0
174, Rwanda,299068,-838536,0
175, Bhutan,268408,-541882,0
176, Maldives,265276,-1413418,0
177, Belize,244906,-740988,0
178, Guinea-Bissau,239169,-82813,0
179, Somalia,204260,-2222512,0
180, Burundi,180772,-706573,0
181, French Polynesia,179334,-1778636,0
182, Vanuatu,172356,-112711,0
183, Gambia,165147,-1186603,0
184, Djibouti,164067,-4113535,0
185, Gibraltar,146826,-8516254,0
186," Micronesia, Federated States of",142835,14179,0
