country,value_exported
   Nepal,966600
  Switzerland,"314,145,207"
 Afghanistan,1266174
 Albania,2728415
 Algeria,"34,746,213"
 Andorra,110161
 Angola,"35,602,059"
 Anguilla,20485
 Antigua and Barbuda,36557
 Argentina,"65,115,327"
 Armenia,2611701
 Aruba,83627
 Australia,"272,579,608"
 Austria,"182,030,864"
 Azerbaijan,"19,635,580"
 Bahamas,1487643
 Bahrain,"9,425,796"
 Bangladesh,"46,601,218"
 Barbados,444089
 Belarus,"22,534,205"
 Belgium,"445,214,433"
 Belize,244906
 Benin,850596
 Bermuda,26833
 Bhutan,268408
 Bolivia,"7,671,876"
" Bonaire, Sint Eustatius and Saba",33305
 Bosnia and Herzegovina,6578192
 Botswana,5238079
 Brazil,"223,998,669"
 British Antarctic Territory,4
 British Indian Ocean Territory,82446
 British Virgin Islands,362803
 Brunei,"7,249,807"
 Bulgaria,"33,872,429"
 Burkina Faso,3260981
 Burundi,180772
 Cabo Verde,61879
 Cambodia,"14,824,722"
 Cameroon,5015141
 Canada,"446,562,311"
 Cayman Islands,1549975
 Central African Republic,69619
 Chad,1058627
 Chile,"69,145,962"
 China,"2,498,569,866"
 Christmas Island,17064
 Cocos (Keeling) Islands,4542
 Colombia,"39,496,225"
 Comoros,49024
 Cook Islands,31602
 Costa Rica,"11,452,817"
 Croatia,"17,063,050"
 Cuba,1614816
 Curaçao,523914
 Cyprus,3528213
 Czech Republic,"198,852,420"
 Côte d'Ivoire,"12,717,852"
 Democratic Republic of the Congo,"7,504,163"
 Denmark,"109,941,916"
 Djibouti,164067
 Dominica,44841
 Dominican Republic,"10,619,028"
 Ecuador,"22,329,379"
 Egypt,"30,632,553"
 El Salvador,4777618
 Equatorial Guinea,5007612
 Eritrea,332793
 Estonia,"16,810,907"
 Eswatini,2001637
 Ethiopia,2674870
 Falkland Islands (Malvinas),315845
 Faroe Islands,1490947
 Fiji,1033413
 Finland,"73,326,802"
 France,"555,100,606"
 French Polynesia,179334
 French Southern and Antarctic Lands,19668
 Gabon,"7,192,002"
 Gambia,165147
 Georgia,3764104
 Germany,"1,486,462,772"
 Ghana,"13,994,949"
 Gibraltar,146826
 Greece,"37,885,527"
 Greenland,1294270
 Grenada,36276
 Guatemala,"11,183,088"
 Guinea,4160628
 Guinea-Bissau,239169
 Guyana,3842163
 Haiti,1341760
 Honduras,3091163
 Hong Kong,"535,711,019"
 Hungary,"121,995,389"
 Iceland,5231459
 India,"323,250,726"
 Indonesia,"167,496,991"
 Iran,"27,106,527"
 Iraq,"90,678,278"
 Ireland,"169,792,014"
 Israel,"58,448,249"
 Italy,"532,683,665"
 Jamaica,1586351
 Japan,"705,842,013"
 Jordan,6406185
 Kazakhstan,"57,722,942"
 Kenya,5836027
 Kiribati,98172
" Korea, Democratic People's Republic of",414344
 Kuwait,"58,429,857"
 Kyrgyzstan,1965502
 Lao People's Democratic Republic,5809346
 Latvia,"14,400,974"
 Lebanon,3001671
 Lesotho,1105336
 Liberia,1907492
 Libya,"27,730,382"
 Lithuania,"33,123,430"
 Luxembourg,"16,761,265"
 Macao,1023983
 Madagascar,2564400
 Malawi,912983
 Malaysia,"238,161,125"
 Maldives,265276
 Mali,1669031
 Malta,4142922
 Marshall Islands,1186309
 Mauritania,2890635
 Mauritius,1873604
 Mexico,"472,272,871"
" Micronesia, Federated States of",142835
" Moldova, Republic of",3107829
 Mongolia,"7,200,177"
 Montenegro,406920
 Montserrat,7720
 Montserrat,6678
 Morocco,"29,338,782"
 Mozambique,4722313
 Myanmar,"19,369,301"
 Namibia,6439325
 Nauru,33474
 Netherlands,"721,301,085"
 New Caledonia,1799653
 New Zealand,"38,183,311"
 Nicaragua,5272553
 Niger,444250
 Nigeria,"53,624,701"
 Niue,63991
 Norfolk Island,3033
 North Macedonia,"7,185,964"
 Northern Mariana Islands,4842
 Norway,"102,793,716"
 Oman,"37,574,339"
 Pakistan,"23,818,817"
 Palau,22687
" Palestine, State of",65082
 Panama,5710189
 Papua New Guinea,"11,765,385"
 Paraguay,"7,652,036"
 Peru,"45,135,222"
 Philippines,"70,334,023"
 Pitcairn,1931
 Poland,"251,864,773"
 Portugal,"67,056,137"
 Qatar,"73,022,958"
 Romania,"77,298,748"
 Russia,"422,777,167"
 Rwanda,299068
 Saint Helena,25252
 Saint Kitts and Nevis,77685
 Saint Lucia,97256
 Saint Vincent and the Grenadines,38157
 Samoa,49335
 Sao Tome and Principe,9860
 Saudi Arabia,"251,800,458"
 Senegal,4174502
 Serbia,"19,557,555"
 Seychelles,844891
 Sierra Leone,690433
 Singapore,"390,386,234"
 Sint Maarten (Dutch part),11849
 Slovakia,"90,049,519"
 Slovenia,"45,624,764"
 Solomon Islands,705394
 Somalia,204260
 South Africa,"90,419,473"
 South Korea,"542,333,337"
 South Sudan,1560547
 Spain,"337,215,114"
 Sri Lanka,"11,329,567"
 Sudan,2724681
 Suriname,1460966
 Sweden,"160,543,407"
 Syrian Arab Republic,462190
 Taiwan,"329,512,433"
 Tajikistan,1115850
" Tanzania, United Republic of",3374210
 Thailand,"245,380,465"
 Timor-Leste,124349
 Togo,1025312
 Tokelau,19500
 Tonga,16166
 Trinidad and Tobago,"10,595,108"
 Tunisia,"15,132,285"
 Turkey,"171,098,411"
 Turkmenistan,"10,324,597"
 Turks and Caicos Islands,22170
 Tuvalu,20132
 Uganda,1311801
 Ukraine,"50,123,928"
